,Columns,Datatype,Description
0,Unnamed: 0,<class 'str'>,Datetime
1,AI_HR10,<class 'numpy.float64'>,10 Current Harmonics of Phase A (Hz)
2,AI_HR11,<class 'numpy.float64'>,11 Current Harmonics of Phase A (Hz)
3,AI_HR12,<class 'numpy.float64'>,12 Current Harmonics of Phase A (Hz)
4,AI_HR13,<class 'numpy.float64'>,13 Current Harmonics of Phase A (Hz)
5,AI_HR14,<class 'numpy.float64'>,14 Current Harmonics of Phase A (Hz)
6,AI_HR15,<class 'numpy.float64'>,15 Current Harmonics of Phase A (Hz)
7,AI_HR16,<class 'numpy.float64'>,16 Current Harmonics of Phase A (Hz)
8,AI_HR17,<class 'numpy.float64'>,17 Current Harmonics of Phase A (Hz)
9,AI_HR18,<class 'numpy.float64'>,18 Current Harmonics of Phase A (Hz)
10,AI_HR19,<class 'numpy.float64'>,19 Current Harmonics of Phase A (Hz)
11,AI_HR2,<class 'numpy.float64'>,2 Current Harmonics of Phase A (Hz)
12,AI_HR20,<class 'numpy.float64'>,20 Current Harmonics of Phase A (Hz)
13,AI_HR21,<class 'numpy.float64'>,21 Current Harmonics of Phase A (Hz)
14,AI_HR22,<class 'numpy.float64'>,22 Current Harmonics of Phase A (Hz)
15,AI_HR23,<class 'numpy.float64'>,23 Current Harmonics of Phase A (Hz)
16,AI_HR24,<class 'numpy.float64'>,24 Current Harmonics of Phase A (Hz)
17,AI_HR25,<class 'numpy.float64'>,25 Current Harmonics of Phase A (Hz)
18,AI_HR26,<class 'numpy.float64'>,26 Current Harmonics of Phase A (Hz)
19,AI_HR27,<class 'numpy.float64'>,27 Current Harmonics of Phase A (Hz)
20,AI_HR28,<class 'numpy.float64'>,28 Current Harmonics of Phase A (Hz)
21,AI_HR29,<class 'numpy.float64'>,29 Current Harmonics of Phase A (Hz)
22,AI_HR3,<class 'numpy.float64'>,3 Current Harmonics of Phase A (Hz)
23,AI_HR30,<class 'numpy.float64'>,30 Current Harmonics of Phase A (Hz)
24,AI_HR31,<class 'numpy.float64'>,31 Current Harmonics of Phase A (Hz)
25,AI_HR32,<class 'numpy.float64'>,32 Current Harmonics of Phase A (Hz)
26,AI_HR4,<class 'numpy.float64'>,4 Current Harmonics of Phase A (Hz)
27,AI_HR5,<class 'numpy.float64'>,5 Current Harmonics of Phase A (Hz)
28,AI_HR6,<class 'numpy.float64'>,6 Current Harmonics of Phase A (Hz)
29,AI_HR7,<class 'numpy.float64'>,7 Current Harmonics of Phase A (Hz)
30,AI_HR8,<class 'numpy.float64'>,8 Current Harmonics of Phase A (Hz)
31,AI_HR9,<class 'numpy.float64'>,9 Current Harmonics of Phase A (Hz)
32,AI_THD,<class 'numpy.float64'>,Total Harmonic Distortion of  Current for Phase A (Hz)
33,AV_HR10,<class 'numpy.float64'>,10 Voltage Harmonics of Phase A (Hz)
34,AV_HR11,<class 'numpy.float64'>,11 Voltage Harmonics of Phase A (Hz)
35,AV_HR12,<class 'numpy.float64'>,12 Voltage Harmonics of Phase A (Hz)
36,AV_HR13,<class 'numpy.float64'>,13 Voltage Harmonics of Phase A (Hz)
37,AV_HR14,<class 'numpy.float64'>,14 Voltage Harmonics of Phase A (Hz)
38,AV_HR15,<class 'numpy.float64'>,15 Voltage Harmonics of Phase A (Hz)
39,AV_HR16,<class 'numpy.float64'>,16 Voltage Harmonics of Phase A (Hz)
40,AV_HR17,<class 'numpy.float64'>,17 Voltage Harmonics of Phase A (Hz)
41,AV_HR18,<class 'numpy.float64'>,18 Voltage Harmonics of Phase A (Hz)
42,AV_HR19,<class 'numpy.float64'>,19 Voltage Harmonics of Phase A (Hz)
43,AV_HR2,<class 'numpy.float64'>,2 Voltage Harmonics of Phase A (Hz)
